(49,0.0005)
(50,0.001)
(51,0.005)
(52,0.0265)
(53,0.05)
(54,0.098)
(55,0.1095)
(56,0.1495)
(57,0.19)
(58,0.1445)
(59,0.1085)
(60,0.061)
(61,0.0345)
(62,0.016)
(63,0.004)
(64,0.0015)
Team #	P(DCMP)	Pts 5%	Pts 50%	Pts 95%	Nickname
6465	0.385	53	57	61	Mystic Biscuit
6442	0.385	53	57	61	Modern Americans
6129	0.385	53	57	61	Warp Speed, Scotty !
6076	0.385	53	57	61	Mustangs
5975	0.385	53	57	61	Beta Blues
5970	0.385	53	57	61	BeaverTronics
5920	0.385	53	57	61	VIKotics
5748	0.385	53	57	61	Adna Pirate Robotics
4980	0.385	53	57	61	Canine Crusaders
492	0.385	53	57	61	Titan Robotics Club
4911	0.385	53	57	61	CyberKnights
4726	0.385	53	57	61	Robo Dynasty
4662	0.385	53	57	61	Byte Sized Robotics
4488	0.385	53	57	61	Shockwave
4461	0.385	53	57	61	Ramen
4127	0.385	53	57	61	LoggerBots
4110	0.385	53	57	61	DEEP SPACE NINERS
4104	0.385	53	57	61	Blackhawks
4061	0.385	53	57	61	SciBorgs
3876	0.385	53	57	61	Mabton LugNutz
3712	0.385	53	57	61	RoboCats
3693	0.385	53	57	61	GearHead Pirates
3674	0.385	53	57	61	CloverBots
3220	0.385	53	57	61	Mechanics of Mayhem
3192	0.385	53	57	61	High Visibility
3070	0.385	53	57	61	Team Pronto
2944	0.385	53	57	61	Titanium Tigers
2926	0.385	53	57	61	Robo Sparks
2898	0.385	53	57	61	Flying Hedgehogs
2635	0.385	53	57	61	Lake Monsters
2522	0.385	53	57	61	Royal Robotics
2521	0.385	53	57	61	SERT
2471	0.385	53	57	61	Team Mean Machine
2411	0.385	53	57	61	Rebel Alliance
2374	0.385	53	57	61	Crusader Bots
2148	0.385	53	57	61	Mechaknights
1595	0.385	53	57	61	The Dragons
1571	0.385	53	57	61	CALibrate Robotics
1510	0.385	53	57	61	Wildcats
1432	0.385	53	57	61	Metal Beavers
4450	0.366	25	29	33	Olympia Robotics Federation
3812	0.366	25	29	33	Bits & Bots
1899	0.366	25	29	33	Saints Robotics
1258	0.349	26	30	34	SeaBot
7627	0.314	28	32	36	Descendants of G.O.R.T.
4205	0.314	28	32	36	ROBOCUBS
4131	0.314	28	32	36	Iron Patriots
3826	0.314	28	32	36	Sequim Robotics Federation "SRF" 
3223	0.314	28	32	36	Robotics Of Central Kitsap
1778	0.314	28	32	36	Chill Out
957	0.298	29	33	37	SWARM
847	0.298	29	33	37	PHRED
2907	0.298	29	33	37	Lion Robotics
2412	0.298	29	33	37	Robototes
5683	0.284	30	34	38	Hello World
7461	0.269	31	35	39	Binary Circles
6831	0.269	31	35	39	 A-05 Annex
6343	0.269	31	35	39	Steel Ridge Robotics
5588	0.269	31	35	39	Reign Robotics
5198	0.269	31	35	39	Knight Tech
4915	0.269	31	35	39	Spartronics
6350	0.255	32	36	40	Clawbots
2147	0.255	32	36	40	CHUCK
4173	0.241	33	37	41	 IMVERT (Interscholastic Mount Vernon Engineering Robotics Team)
3268	0.241	33	37	41	Vahallabots
2903	0.229	34	38	42	NeoBots
3636	0.207	36	40	44	Generals
3237	0.207	36	40	44	Event Horizon
2811	0.196	37	41	45	StormBots
7032	0.185	38	42	46	Raptors
4682	0.185	38	42	46	BraveBots
2605	0.185	38	42	46	Seamonsters 
2550	0.185	38	42	46	Skynet
949	0.174	39	43	47	Wolverine Robotics
7448	0.174	39	43	47	S.C. Robotics
6696	0.174	39	43	47	Cardinal Dynamics
488	0.174	39	43	47	Team XBot
1294	0.174	39	43	47	Top Gun
4692	0.163	40	44	48	Metal Mallards
3681	0.163	40	44	48	Robo-Raiders
3393	0.163	40	44	48	Horns of Havoc
3049	0.163	40	44	48	BremerTron
1359	0.163	40	44	48	Scalawags
753	0.151	41	45	49	High Desert Droids
4683	0.151	41	45	49	Full Metal Robotics
955	0.141	42	46	50	CV Robotics
3218	0.141	42	46	50	Panther Robotics
7204	0.132	43	47	51	Freedom Gliders
6959	0.132	43	47	51	Organized Chaos
4051	0.132	43	47	51	Sabin-Sharks
3131	0.132	43	47	51	Gladiators
2927	0.132	43	47	51	Pi Rho Techs
6503	0.122	44	48	52	Iron Dragon
4180	0.122	44	48	52	Iron Riders
3786	0.122	44	48	52	Chargers
3219	0.122	44	48	52	TREAD
4918	0.114	45	49	53	The Roboctopi
3684	0.114	45	49	53	Electric Eagles
3673	0.114	45	49	53	C.Y.B.O.R.G. Seagulls
2906	0.114	45	49	53	Sentinel Prime Robotics
568	0.106	46	50	54	Nerds of the North
3024	0.106	46	50	54	My Favorite Team
5977	0.0971	47	51	55	Rosemary Rebels
4681	0.0971	47	51	55	Murphys law
4089	0.0971	47	51	55	Stealth Robotics
5295	0.0864	48	52	56	Aldernating Current
2929	0.0762	49	53	57	JAGBOTS
