1 	146 	67 - The HOT Team 	73 [FIM District - Waterford Event] 	73 [FIM District - Howell Event] 	Qualified 	Qualified 	0
57 	92 	6075 - Leland Zebrotics 	41 [FIM District - Escanaba Event] 	41 [FIM District - Traverse City Event] 	Qualified 	--- 	10
58 	91 	5053 - Lakers 	25 [FIM District - Kettering University Event #1] 	66 [FIM District - Center Line Event] 	Qualified 	--- 	0
59 	90 	573 - Mech Warriors 	46 [FIM District - Southfield Event] 	44 [FIM District - Troy Event] 	Qualified 	--- 	0
60 	90 	4362 - Gems 	37 [FIM District - Kettering University Event #2] 	53 [FIM District - Howell Event] 	Qualified 	--- 	0
61 	89 	5155 - Bearcats 	23 [FIM District - Kettering University Event #2] 	66 [FIM District - Marysville Event] 	Qualified 	--- 	0
62 	89 	2474 - Excel 	36 [FIM District - St. Joseph Event] 	53 [FIM District - East Kentwood Event] 	Qualified 	--- 	0
63 	88 	1701 - RoboCubs 	21 [FIM District - Southfield Event] 	67 [FIM District - Center Line Event] 	Qualified 	--- 	0
64 	88 	68 - Truck Town Thunder 	34 [FIM District - Lansing Event] 	54 [FIM District - Howell Event] 	Qualified 	--- 	0
65 	86 	3539 - Byting Bulldogs 	28 [FIM District - Kettering University Event #2] 	58 [FIM District - Troy Event] 	Qualified 	--- 	0
66 	86 	4967 - That ONE Team 	38 [FIM District - St. Joseph Event] 	48 [FIM District - East Kentwood Event] 	Qualified 	--- 	0
67 	85 	5222 - JackBotics 	46 [FIM District - Midland Event] 	39 [FIM District - Lansing Event] 	Qualified 	--- 	0
68 	84 	5502 - Cobrots 	34 [FIM District - Kettering University Event #1] 	45 [FIM District - Lansing Event] 	Qualified 	--- 	5
69 	84 	2959 - Robotarians 	22 [FIM District - St. Joseph Event] 	62 [FIM District - Lansing Event] 	Qualified 	--- 	0
70 	84 	1250 - Gator-Bots 	25 [FIM District - Waterford Event] 	59 [FIM District - Livonia Event] 	Qualified 	--- 	0
71 	83 	3707 - Brighton TechnoDogs 	61 [FIM District - Kettering University Event #2] 	22 [FIM District - Howell Event] 	Qualified 	--- 	0
72 	83 	4680 - Az-Tech Eagles 	53 [FIM District - Southfield Event] 	30 [FIM District - Center Line Event] 	Qualified 	--- 	0
73 	82 	3098 - The Captains 	21 [FIM District - Waterford Event] 	61 [FIM District - Center Line Event] 	Qualified 	--- 	0
74 	81 	2611 - Jacktown Vectors 	27 [FIM District - Lakeview Event] 	54 [FIM District - Lansing Event] 	Qualified 	--- 	0
75 	81 	3770 - BlitzCreek 	49 [FIM District - Standish-Sterling Event] 	32 [FIM District - Midland Event] 	Qualified 	--- 	0
76 	81 	6097 - Botcats 	44 [FIM District - St. Joseph Event] 	27 [FIM District - Traverse City Event] 	Qualified 	--- 	10
77 	81 	1684 - Chimeras 	38 [FIM District - Kettering University Event #2] 	43 [FIM District - Lansing Event] 	Qualified 	--- 	0
78 	79 	4003 - TriSonics 	46 [FIM District - Waterford Event] 	33 [FIM District - West Michigan Event] 	Qualified 	--- 	0
79 	79 	3886 - More Titans 	53 [FIM District - Escanaba Event] 	26 [FIM District - Traverse City Event] 	Qualified 	--- 	0
80 	79 	858 - Demons 	50 [FIM District - St. Joseph Event] 	29 [FIM District - East Kentwood Event] 	Qualified 	--- 	0
81 	78 	5166 - Fabricators 	50 [FIM District - Standish-Sterling Event] 	28 [FIM District - Midland Event] 	Qualified 	--- 	0
82 	78 	5084 - FridgeBot Inc. 	49 [FIM District - Kettering University Event #1] 	29 [FIM District - Lansing Event] 	Qualified 	--- 	0
83 	78 	3668 - TroBots 	41 [FIM District - Southfield Event] 	37 [FIM District - Howell Event] 	Qualified 	--- 	0
84 	78 	2612 - The Corsairs 	41 [FIM District - Lakeview Event] 	37 [FIM District - Lansing Event] 	Qualified 	--- 	0
85 	77 	3234 - Red Arrows 	26 [FIM District - East Kentwood Event] 	51 [FIM District - Ann Arbor Skyline Event] 	Qualified 	--- 	0
86 	77 	5712 - Hemlock's Gray Matter 	27 [FIM District - Standish-Sterling Event] 	45 [FIM District - Midland Event] 	Qualified 	--- 	5
87 	77 	5167 - Vi-Bots 	40 [FIM District - Southfield Event] 	37 [FIM District - Marysville Event] 	Qualified 	--- 	0
88 	77 	6190 - Will-er Run 	39 [FIM District - Livonia Event] 	28 [FIM District - Ann Arbor Skyline Event] 	Qualified 	--- 	10
89 	76 	5230 - The Resistance 	34 [FIM District - Escanaba Event] 	42 [FIM District - Lake Superior State University Event] 	Qualified 	--- 	0
90 	76 	3767 - Titan Robotics 	36 [FIM District - Escanaba Event] 	40 [FIM District - Traverse City Event] 	Qualified 	--- 	0
91 	75 	66 - Grizzly Robotics 	22 [FIM District - St. Joseph Event] 	53 [FIM District - Ann Arbor Skyline Event] 	Qualified 	--- 	0
92 	75 	1025 - IMPIS 	37 [FIM District - Southfield Event] 	38 [FIM District - Marysville Event] 	Qualified 	--- 	0
93 	75 	6121 - Robo Vikes 	36 [FIM District - Standish-Sterling Event] 	25 [FIM District - Traverse City Event] 	Qualified 	--- 	10
94 	74 	5203 - Volatile Chaos Inhibitors 	46 [FIM District - Kettering University Event #2] 	28 [FIM District - Midland Event] 	Qualified 	--- 	0
95 	74 	5048 - Spartronics 	42 [FIM District - Waterford Event] 	32 [FIM District - Marysville Event] 	Qualified 	--- 	0
96 	74 	2586 - Copper Bots 	36 [FIM District - Lakeview Event] 	38 [FIM District - Escanaba Event] 	Qualified 	--- 	0
97 	74 	3414 - Hackbots 	30 [FIM District - Livonia Event] 	44 [FIM District - Traverse City Event] 	Qualified 	--- 	0
98 	73 	51 - The Wings of Fire 	31 [FIM District - Waterford Event] 	42 [FIM District - Howell Event] 	--- 	Qualified 	0
99 	73 	5843 - Flurb 	33 [FIM District - Southfield Event] 	30 [FIM District - Marysville Event] 	--- 	--- 	10
100 	72 	5567 - Code Red Robotics 	44 [FIM District - Center Line Event] 	23 [FIM District - Howell Event] 	--- 	--- 	5
101 	72 	308 - The Monsters 	27 [FIM District - Waterford Event] 	45 [FIM District - Livonia Event] 	--- 	--- 	0
102 	72 	2832 - The Livonia Warriors 	29 [FIM District - Southfield Event] 	43 [FIM District - Livonia Event] 	--- 	--- 	0
103 	72 	3535 - Galaktech Invaders 	41 [FIM District - Kettering University Event #1] 	31 [FIM District - Marysville Event] 	--- 	--- 	0
104 	71 	4392 - The Deceivers 	27 [FIM District - Escanaba Event] 	44 [FIM District - Lake Superior State University Event] 	--- 	--- 	0
105 	71 	3542 - S.P.E.E.D 	24 [FIM District - Livonia Event] 	47 [FIM District - Woodhaven Event] 	--- 	--- 	0
106 	71 	2851 - Crevolution 	26 [FIM District - Marysville Event] 	45 [FIM District - Troy Event] 	--- 	--- 	0
107 	71 	4376 - Raydernators 	30 [FIM District - Kettering University Event #1] 	41 [FIM District - Escanaba Event] 	--- 	--- 	0
108 	70 	1188 - RoboRavens1 	42 [FIM District - Southfield Event] 	28 [FIM District - Livonia Event] 	--- 	--- 	0
109 	70 	6128 - The Automatics 	19 [FIM District - West Michigan Event] 	41 [FIM District - Traverse City Event] 	--- 	--- 	10
110 	70 	5194 - Gobles Voltage 	48 [FIM District - Lakeview Event] 	22 [FIM District - Ann Arbor Skyline Event] 	--- 	--- 	0
111 	70 	4988 - Yooper Troopers 	12 [FIM District - Midland Event] 	58 [FIM District - Traverse City Event] 	--- 	--- 	0
112 	70 	201 - The FEDS 	36 [FIM District - Waterford Event] 	34 [FIM District - Howell Event] 	--- 	--- 	0
113 	70 	4810 - I AM Robot 	28 [FIM District - Waterford Event] 	42 [FIM District - Troy Event] 	--- 	--- 	0
114 	70 	1711 - Raptors 	45 [FIM District - Escanaba Event] 	25 [FIM District - Traverse City Event] 	Qualified 	--- 	0
115 	70 	910 - The Foley Freeze 	33 [FIM District - Center Line Event] 	37 [FIM District - Troy Event] 	--- 	--- 	0
116 	69 	6013 - Robowolves 	33 [FIM District - Troy Event] 	26 [FIM District - Woodhaven Event] 	--- 	--- 	10
117 	69 	6085 - Devil Bots 	31 [FIM District - Kettering University Event #2] 	28 [FIM District - Marysville Event] 	--- 	--- 	10
118 	69 	2960 - automation nation 	44 [FIM District - Southfield Event] 	25 [FIM District - Livonia Event] 	--- 	--- 	0
119 	69 	5046 - Jacked Up Jackets 	40 [FIM District - Kettering University Event #2] 	29 [FIM District - Marysville Event] 	--- 	--- 	0
120 	69 	6002 - ZooBOTix 	39 [FIM District - Lakeview Event] 	20 [FIM District - East Kentwood Event] 	--- 	--- 	10
121 	68 	3658 - Robo - Beavers 	28 [FIM District - Southfield Event] 	40 [FIM District - Lakeview Event] 	--- 	--- 	0
122 	68 	4325 - RoboRangers 	30 [FIM District - St. Joseph Event] 	38 [FIM District - East Kentwood Event] 	--- 	--- 	0
123 	67 	469 - Las Guerrillas 	41 [FIM District - Kettering University Event #2] 	26 [FIM District - Troy Event] 	--- 	--- 	0
124 	67 	4453 - The Red Hot Chili Bots 	46 [FIM District - Lakeview Event] 	21 [FIM District - West Michigan Event] 	--- 	--- 	0
125 	66 	5901 - Cougars 	24 [FIM District - Southfield Event] 	32 [FIM District - Ann Arbor Skyline Event] 	--- 	--- 	10
126 	66 	5710 - The O-Bots 	37 [FIM District - Lakeview Event] 	24 [FIM District - West Michigan Event] 	--- 	--- 	5
127 	66 	4130 - The Blue Devils 	34 [FIM District - Kettering University Event #2] 	32 [FIM District - Marysville Event] 	--- 	--- 	0
128 	65 	5610 - Saugatuck Robotics 	15 [FIM District - St. Joseph Event] 	45 [FIM District - West Michigan Event] 	--- 	--- 	5
129 	65 	1596 - The Instigators 	28 [FIM District - Escanaba Event] 	37 [FIM District - Lake Superior State University Event] 	--- 	--- 	0
130 	65 	3617 - Cold Logic 	39 [FIM District - Escanaba Event] 	26 [FIM District - Lake Superior State University Event] 	--- 	--- 	0
131 	65 	1506 - Metal Muscle 	31 [FIM District - Kettering University Event #2] 	34 [FIM District - West Michigan Event] 	--- 	--- 	0
132 	64 	6081 - Digital Dislocators 	44 [FIM District - Kettering University Event #1] 	10 [FIM District - Howell Event] 	--- 	--- 	10
133 	64 	2620 - Titans 	23 [FIM District - Livonia Event] 	41 [FIM District - Woodhaven Event] 	--- 	--- 	0
134 	64 	141 - WOBOT 	33 [FIM District - St. Joseph Event] 	31 [FIM District - West Michigan Event] 	--- 	Qualified 	0
135 	64 	857 - Superior Roboworks 	40 [FIM District - Lakeview Event] 	24 [FIM District - Escanaba Event] 	--- 	--- 	0
136 	64 	6090 - Wayland Wildcats 	26 [FIM District - Marysville Event] 	28 [FIM District - East Kentwood Event] 	--- 	--- 	10
137 	64 	904 - D cubed 	25 [FIM District - St. Joseph Event] 	39 [FIM District - Escanaba Event] 	--- 	--- 	0
138 	64 	5509 - Like a Boss. 	25 [FIM District - Kettering University Event #1] 	34 [FIM District - Midland Event] 	--- 	--- 	5
139 	63 	6116 - Cougar Robotics 	7 [FIM District - Livonia Event] 	46 [FIM District - Woodhaven Event] 	--- 	--- 	10
140 	63 	5462 - 2PawR (2 Paw Robotics) 	9 [FIM District - Kettering University Event #1] 	49 [FIM District - Lakeview Event] 	--- 	--- 	5
141 	63 	5238 - Falconators 	25 [FIM District - Kettering University Event #2] 	38 [FIM District - Lansing Event] 	--- 	--- 	0
142 	63 	5915 - Mercy Midnight Storm 	17 [FIM District - Southfield Event] 	36 [FIM District - Center Line Event] 	--- 	--- 	10
143 	63 	5534 - Onaway Onabots 	7 [FIM District - Standish-Sterling Event] 	51 [FIM District - Kettering University Event #2] 	--- 	--- 	5
144 	62 	3322 - Eagle Imperium 	22 [FIM District - Southfield Event] 	40 [FIM District - Ann Arbor Skyline Event] 	--- 	--- 	0
145 	62 	1189 - The Gearheads 	17 [FIM District - Waterford Event] 	45 [FIM District - Center Line Event] 	--- 	--- 	0
146 	62 	226 - Hammerheads 	21 [FIM District - Midland Event] 	41 [FIM District - Troy Event] 	--- 	--- 	0
147 	62 	6067 - Underdogs 	13 [FIM District - Kettering University Event #1] 	39 [FIM District - Midland Event] 	--- 	--- 	10
148 	61 	2405 - Techno Trojans 	29 [FIM District - St. Joseph Event] 	32 [FIM District - West Michigan Event] 	--- 	--- 	0
149 	61 	6117 - Team Eagle 	20 [FIM District - Waterford Event] 	31 [FIM District - Troy Event] 	--- 	--- 	10
150 	61 	703 - Team Phoenix 	22 [FIM District - Midland Event] 	39 [FIM District - Howell Event] 	--- 	--- 	0
151 	60 	862 - Lightning Robotics 	34 [FIM District - Standish-Sterling Event] 	26 [FIM District - Troy Event] 	--- 	--- 	0
152 	60 	5860 - Full Metal Muskrats 	20 [FIM District - Waterford Event] 	30 [FIM District - Marysville Event] 	--- 	--- 	10
153 	60 	5675 - WiredCats 	31 [FIM District - Lakeview Event] 	24 [FIM District - West Michigan Event] 	--- 	--- 	5
154 	60 	5661 - RoboCards 	17 [FIM District - Standish-Sterling Event] 	38 [FIM District - Midland Event] 	--- 	--- 	5
155 	59 	4956 - Robosharks 	22 [FIM District - St. Joseph Event] 	37 [FIM District - West Michigan Event] 	--- 	--- 	0
156 	59 	4835 - Junkyard Dawgs 	38 [FIM District - Escanaba Event] 	21 [FIM District - Traverse City Event] 	--- 	--- 	0
157 	59 	2604 - Metal and Soul 	14 [FIM District - Kettering University Event #2] 	45 [FIM District - Marysville Event] 	Qualified 	--- 	0
158 	58 	5162 - The Big Red Theory 	8 [FIM District - West Michigan Event] 	50 [FIM District - East Kentwood Event] 	--- 	--- 	0
159 	58 	94 - The Technojays 	33 [FIM District - Southfield Event] 	25 [FIM District - Traverse City Event] 	--- 	--- 	0
160 	58 	4395 - Dundee Vi-Borgs 	11 [FIM District - Lake Superior State University Event] 	47 [FIM District - Ann Arbor Skyline Event] 	--- 	--- 	0
161 	58 	245 - Adambots 	26 [FIM District - Waterford Event] 	32 [FIM District - Center Line Event] 	--- 	Qualified 	0
162 	57 	3667 - Mecanum Knights 	46 [FIM District - Waterford Event] 	11 [FIM District - Marysville Event] 	--- 	--- 	0
163 	56 	302 - The Dragons 	26 [FIM District - Livonia Event] 	30 [FIM District - Howell Event] 	--- 	--- 	0
164 	56 	1076 - Pi Hi Samurai 	34 [FIM District - Lakeview Event] 	22 [FIM District - Howell Event] 	--- 	--- 	0
165 	56 	5662 - A Flock of Nerds 	25 [FIM District - Waterford Event] 	26 [FIM District - Troy Event] 	--- 	--- 	5
166 	55 	4409 - Ground Zero 	9 [FIM District - St. Joseph Event] 	46 [FIM District - East Kentwood Event] 	--- 	--- 	0
167 	55 	6057 - Team Edsel 	29 [FIM District - Troy Event] 	16 [FIM District - Woodhaven Event] 	--- 	--- 	10
168 	55 	2075 - Enigma Robotics 	30 [FIM District - Waterford Event] 	25 [FIM District - East Kentwood Event] 	--- 	--- 	0
169 	55 	5524 - MacroProcessors 	28 [FIM District - Kettering University Event #1] 	22 [FIM District - Ann Arbor Skyline Event] 	--- 	--- 	5
170 	55 	4776 - S.C.O.T.S. Bots 	20 [FIM District - Lansing Event] 	35 [FIM District - Howell Event] 	Qualified 	--- 	0
171 	55 	6114 - Do the Thing 	9 [FIM District - West Michigan Event] 	36 [FIM District - East Kentwood Event] 	--- 	--- 	10
172 	54 	3773 - Cobalt Commanders 	24 [FIM District - Waterford Event] 	30 [FIM District - Woodhaven Event] 	--- 	--- 	0
173 	54 	5217 - Robocats 	24 [FIM District - Livonia Event] 	30 [FIM District - Woodhaven Event] 	--- 	--- 	0
174 	54 	4819 - Flat Mountain Mechanics 	29 [FIM District - Midland Event] 	25 [FIM District - East Kentwood Event] 	--- 	--- 	0
175 	54 	280 - TnT 	35 [FIM District - Southfield Event] 	19 [FIM District - Center Line Event] 	--- 	--- 	0
176 	53 	5069 - The Iron Giants 	44 [FIM District - St. Joseph Event] 	9 [FIM District - West Michigan Event] 	--- 	--- 	0
177 	53 	6071 - Bot Central 	9 [FIM District - Standish-Sterling Event] 	34 [FIM District - Midland Event] 	--- 	--- 	10
178 	53 	5086 - Cadillac Connectors 	10 [FIM District - Howell Event] 	43 [FIM District - Traverse City Event] 	--- 	--- 	0
179 	53 	6150 - BlueBotics 	11 [FIM District - Livonia Event] 	32 [FIM District - Ann Arbor Skyline Event] 	--- 	--- 	10
180 	53 	5067 - Steiner Steel Storm 	28 [FIM District - Kettering University Event #1] 	25 [FIM District - Ann Arbor Skyline Event] 	--- 	--- 	0
181 	53 	894 - Chargers 	30 [FIM District - Kettering University Event #1] 	23 [FIM District - Howell Event] 	--- 	--- 	0
182 	53 	5853 - FEAR The Termigators 	12 [FIM District - Livonia Event] 	31 [FIM District - Ann Arbor Skyline Event] 	--- 	--- 	10
183 	53 	6120 - Cyberstangs 	11 [FIM District - Marysville Event] 	32 [FIM District - Troy Event] 	--- 	--- 	10
184 	52 	5008 - (robo)LIONS 	12 [FIM District - Troy Event] 	40 [FIM District - Ann Arbor Skyline Event] 	--- 	--- 	0
185 	52 	5547 - The Talons 	12 [FIM District - Standish-Sterling Event] 	35 [FIM District - Escanaba Event] 	--- 	--- 	5
186 	52 	4004 - M.A.R.S. Rovers 	6 [FIM District - St. Joseph Event] 	46 [FIM District - West Michigan Event] 	--- 	--- 	0
187 	52 	4779 - RoboSapiens 	30 [FIM District - Waterford Event] 	22 [FIM District - Marysville Event] 	--- 	--- 	0
188 	52 	5248 - Robo-Saxons 	22 [FIM District - Lakeview Event] 	30 [FIM District - Lansing Event] 	--- 	--- 	0
189 	52 	5623 - Robotic Rams 	18 [FIM District - Center Line Event] 	29 [FIM District - Lansing Event] 	--- 	--- 	5
190 	52 	3572 - Wavelength 	20 [FIM District - West Michigan Event] 	32 [FIM District - East Kentwood Event] 	--- 	--- 	0
191 	52 	6093 - Unplugged 	12 [FIM District - Marysville Event] 	30 [FIM District - Ann Arbor Skyline Event] 	--- 	--- 	10
192 	52 	6020 - JGHS 	17 [FIM District - Midland Event] 	25 [FIM District - Marysville Event] 	--- 	--- 	10
193 	51 	5068 - The Outsiders 	9 [FIM District - Center Line Event] 	42 [FIM District - Troy Event] 	--- 	--- 	0
194 	51 	5234 - MarauderBots 	17 [FIM District - Kettering University Event #1] 	34 [FIM District - Lansing Event] 	--- 	--- 	0
195 	51 	3568 - RoboEagles 	18 [FIM District - Kettering University Event #1] 	33 [FIM District - Howell Event] 	--- 	--- 	0
196 	51 	5256 - Atomic Vikings 	26 [FIM District - St. Joseph Event] 	25 [FIM District - East Kentwood Event] 	--- 	--- 	0
197 	51 	4970 - ICE Cubed 	29 [FIM District - Escanaba Event] 	22 [FIM District - Lake Superior State University Event] 	--- 	--- 	0
198 	51 	5090 - Torque-Nados 	11 [FIM District - Waterford Event] 	40 [FIM District - Woodhaven Event] 	Qualified 	--- 	0
199 	50 	2048 - The Pink Panthers 	6 [FIM District - Southfield Event] 	44 [FIM District - Center Line Event] 	--- 	--- 	0
200 	50 	6108 - DRAGONBOTS 	8 [FIM District - Marysville Event] 	32 [FIM District - Troy Event] 	--- 	--- 	10
201 	50 	4237 - Team Lance-A-Bot 	18 [FIM District - St. Joseph Event] 	32 [FIM District - Lansing Event] 	--- 	--- 	0
202 	49 	5247 - Red Devil Robotics 	15 [FIM District - Standish-Sterling Event] 	34 [FIM District - Lake Superior State University Event] 	--- 	--- 	0
203 	49 	4994 - Kingston Robo-Cards 	29 [FIM District - Kettering University Event #1] 	20 [FIM District - Marysville Event] 	--- 	--- 	0
204 	49 	3875 - Red Storm Robotics 	32 [FIM District - St. Joseph Event] 	17 [FIM District - East Kentwood Event] 	--- 	--- 	0
205 	49 	6066 - Rambler Robotics 	25 [FIM District - Kettering University Event #2] 	14 [FIM District - Midland Event] 	--- 	--- 	10
206 	49 	6101 - RoboRaid 	15 [FIM District - Howell Event] 	24 [FIM District - Ann Arbor Skyline Event] 	--- 	--- 	10
207 	48 	5470 - Broncos 	24 [FIM District - West Michigan Event] 	19 [FIM District - East Kentwood Event] 	--- 	--- 	5
208 	48 	818 - Steel Armadillos 	14 [FIM District - Kettering University Event #2] 	34 [FIM District - Center Line Event] 	--- 	--- 	0
209 	47 	4961 - Shock and Awe-sum 	18 [FIM District - Kettering University Event #2] 	29 [FIM District - Troy Event] 	--- 	--- 	0
210 	47 	470 - Grizzly Robotics 	30 [FIM District - St. Joseph Event] 	17 [FIM District - Howell Event] 	--- 	--- 	0
